id,delivery_id,invoice_number,invoice_date,due_date,total_amount,status
90504259,80738080,INV-90504259,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
90504250,80738074,INV-90504250,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.88,paid
90504406,80737921,INV-90504406,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,179.66,paid
90504376,80737922,INV-90504376,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,221.19,paid
90504266,80738085,INV-90504266,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
90504265,80738084,INV-90504265,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,761.86,paid
90504263,80738083,INV-90504263,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,481.44,paid
90504260,80738081,INV-90504260,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
90504257,80738079,INV-90504257,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,375.42,paid
90504256,80738078,INV-90504256,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,179.66,paid
90504255,80738077,INV-90504255,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,439.83,paid
90504253,80738076,INV-90504253,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,439.83,paid
90504252,80738075,INV-90504252,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,429.66,paid
90504214,80738047,INV-90504214,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,272.88,paid
90504262,80738082,INV-90504262,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,843.73,paid
90504235,80738063,INV-90504235,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,310.76,paid
91150106,80737921,INV-91150106,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,179.66,paid
91150114,80737922,INV-91150114,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,221.19,paid
91150173,80738085,INV-91150173,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
91150174,80738084,INV-91150174,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,761.86,paid
91150175,80738083,INV-91150175,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,481.44,paid
91150176,80738082,INV-91150176,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,843.73,paid
91150177,80738081,INV-91150177,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
91150178,80738080,INV-91150178,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
91150179,80738079,INV-91150179,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,375.42,paid
91150180,80738078,INV-91150180,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,179.66,paid
91150181,80738077,INV-91150181,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,439.83,paid
91150182,80738076,INV-91150182,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,439.83,paid
91150183,80738075,INV-91150183,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,429.66,paid
91150184,80738074,INV-91150184,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.88,paid
91150185,80738073,INV-91150185,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,561.14,paid
91150186,80738071,INV-91150186,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,221.19,paid
91150187,80738070,INV-91150187,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,329.66,paid
91150188,80738069,INV-91150188,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,2033.65,paid
91150189,80738068,INV-91150189,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,151.69,paid
91150190,80738067,INV-91150190,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,180.34,paid
91150191,80738066,INV-91150191,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
91150192,80738065,INV-91150192,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,287.29,paid
91150193,80738064,INV-91150193,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,168.64,paid
91150194,80738063,INV-91150194,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,310.76,paid
91150195,80738062,INV-91150195,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
